model,subset,prompt,topk,n,hit@1,hit@10,hit@50,mrr,delta_hit@1
PhenoDP (retriever),HMS,N/A,50,88,0.056818181818181816,0.2840909090909091,0.375,0.12071253401739747,0.0
PhenoDP (retriever),LIRICAL,N/A,50,370,0.527027027027027,0.7594594594594595,0.8567567567567568,0.610618347472991,0.0
PhenoDP (retriever),MME,N/A,50,40,0.65,0.9,0.95,0.7404166666666666,0.0
PhenoDP (retriever),RAMEDIS,N/A,50,624,0.10256410256410256,0.3701923076923077,0.5673076923076923,0.1919854772436576,0.0
gemma3-27b,HMS,pp2prompt_v2,10,88,0.125,0.2840909090909091,0.375,0.17641238971725318,0.06818181818181818
gemma3-27b,MME,pp2prompt_v2,10,40,0.45,0.9,0.95,0.5920734126984126,-0.2
gemma3-27b,LIRICAL,pp2prompt_v2,10,370,0.4702702702702703,0.7594594594594595,0.8567567567567568,0.56946862632327,-0.05675675675675668
gemma3-27b,RAMEDIS,pp2prompt_v2,10,624,0.23237179487179488,0.3701923076923077,0.5673076923076923,0.29470856434174464,0.12980769230769232
gemma3-27b,HMS,pp2prompt_v2,3,88,0.056818181818181816,0.2840909090909091,0.375,0.12450041280527625,0.0
gemma3-27b,MME,pp2prompt_v2,3,40,0.525,0.9,0.95,0.6654166666666667,-0.125
gemma3-27b,LIRICAL,pp2prompt_v2,3,370,0.4864864864864865,0.7594594594594595,0.8567567567567568,0.5844922213468651,-0.04054054054054046
gemma3-27b,RAMEDIS,pp2prompt_v2,3,624,0.18108974358974358,0.3701923076923077,0.5673076923076923,0.2387269302351105,0.07852564102564102
gemma3-27b,HMS,pp2prompt_v2,5,88,0.09090909090909091,0.2840909090909091,0.375,0.14154586735073083,0.034090909090909095
gemma3-27b,MME,pp2prompt_v2,5,40,0.5,0.9,0.95,0.6283333333333333,-0.15000000000000002
gemma3-27b,LIRICAL,pp2prompt_v2,5,370,0.4891891891891892,0.7594594594594595,0.8567567567567568,0.5841318609865047,-0.037837837837837784
gemma3-27b,RAMEDIS,pp2prompt_v2,5,624,0.1858974358974359,0.3701923076923077,0.5673076923076923,0.2514940242522045,0.08333333333333334
gemma3-27b,HMS,v7,10,88,0.06818181818181818,0.2840909090909091,0.375,0.12734132189618538,0.01136363636363636
gemma3-27b,MME,v7,10,40,0.65,0.9,0.95,0.7404166666666667,0.0
gemma3-27b,LIRICAL,v7,10,370,0.527027027027027,0.7594594594594595,0.8567567567567568,0.6110687979234417,0.0
gemma3-27b,RAMEDIS,v7,10,624,0.12179487179487179,0.3701923076923077,0.5673076923076923,0.20913800064618088,0.019230769230769232
gemma3-27b,HMS,v7,3,88,0.056818181818181816,0.2840909090909091,0.375,0.12071253401739748,0.0
gemma3-27b,MME,v7,3,40,0.65,0.9,0.95,0.7362500000000001,0.0
gemma3-27b,LIRICAL,v7,3,370,0.527027027027027,0.7594594594594595,0.8567567567567568,0.6119696988243425,0.0
gemma3-27b,RAMEDIS,v7,3,624,0.10737179487179487,0.3701923076923077,0.5673076923076923,0.19599188750006777,0.0048076923076923045
gemma3-27b,HMS,v7,5,88,0.06818181818181818,0.2840909090909091,0.375,0.12487920068406416,0.01136363636363636
gemma3-27b,MME,v7,5,40,0.65,0.9,0.95,0.73625,0.0
gemma3-27b,LIRICAL,v7,5,370,0.5243243243243243,0.7594594594594595,0.8567567567567568,0.610438167292811,-0.002702702702702675
gemma3-27b,RAMEDIS,v7,5,624,0.10576923076923077,0.3701923076923077,0.5673076923076923,0.1983423148504951,0.0032051282051282076
gemma4-31b,HMS,pp2prompt_v2,10,88,0.11363636363636363,0.2840909090909091,0.375,0.16339381107367454,0.056818181818181816
gemma4-31b,MME,pp2prompt_v2,10,40,0.7,0.9,0.95,0.7591666666666667,0.04999999999999993
gemma4-31b,LIRICAL,pp2prompt_v2,10,370,0.5405405405405406,0.7594594594594595,0.8567567567567568,0.6226271419817857,0.013513513513513598
gemma4-31b,RAMEDIS,pp2prompt_v2,10,624,0.18269230769230768,0.3701923076923077,0.5673076923076923,0.25656435901003927,0.08012820512820512
gemma4-31b,HMS,pp2prompt_v2,3,88,0.07954545454545454,0.2840909090909091,0.375,0.13586404916891262,0.022727272727272728
gemma4-31b,MME,pp2prompt_v2,3,40,0.675,0.9,0.95,0.7529166666666667,0.025000000000000022
gemma4-31b,LIRICAL,pp2prompt_v2,3,370,0.5243243243243243,0.7594594594594595,0.8567567567567568,0.6092669961216398,-0.002702702702702675
gemma4-31b,RAMEDIS,pp2prompt_v2,3,624,0.16346153846153846,0.3701923076923077,0.5673076923076923,0.22777607553425577,0.0608974358974359
gemma4-31b,HMS,pp2prompt_v2,5,88,0.07954545454545454,0.2840909090909091,0.375,0.13434889765376112,0.022727272727272728
gemma4-31b,MME,pp2prompt_v2,5,40,0.7,0.9,0.95,0.7633333333333333,0.04999999999999993
gemma4-31b,LIRICAL,pp2prompt_v2,5,370,0.527027027027027,0.7594594594594595,0.8567567567567568,0.6139516808063246,0.0
gemma4-31b,RAMEDIS,pp2prompt_v2,5,624,0.18108974358974358,0.3701923076923077,0.5673076923076923,0.24414893878211905,0.07852564102564102
gemma4-31b,HMS,v7,10,88,0.056818181818181816,0.2840909090909091,0.375,0.12071253401739748,0.0
gemma4-31b,MME,v7,10,40,0.65,0.9,0.95,0.7404166666666667,0.0
gemma4-31b,LIRICAL,v7,10,370,0.527027027027027,0.7594594594594595,0.8567567567567568,0.6106183474729912,0.0
gemma4-31b,RAMEDIS,v7,10,624,0.10897435897435898,0.3701923076923077,0.5673076923076923,0.19545769946587974,0.006410256410256415
gemma4-31b,HMS,v7,3,88,0.056818181818181816,0.2840909090909091,0.375,0.12071253401739748,0.0
gemma4-31b,MME,v7,3,40,0.65,0.9,0.95,0.7404166666666667,0.0
gemma4-31b,LIRICAL,v7,3,370,0.5324324324324324,0.7594594594594595,0.8567567567567568,0.6133210501756938,0.005405405405405461
gemma4-31b,RAMEDIS,v7,3,624,0.10737179487179487,0.3701923076923077,0.5673076923076923,0.19492351143169168,0.0048076923076923045
gemma4-31b,HMS,v7,5,88,0.056818181818181816,0.2840909090909091,0.375,0.12071253401739748,0.0
gemma4-31b,MME,v7,5,40,0.65,0.9,0.95,0.7404166666666667,0.0
gemma4-31b,LIRICAL,v7,5,370,0.527027027027027,0.7594594594594595,0.8567567567567568,0.6106183474729912,0.0
gemma4-31b,RAMEDIS,v7,5,624,0.10576923076923077,0.3701923076923077,0.5673076923076923,0.1935880413462216,0.0032051282051282076
llama3.3-70b,HMS,pp2prompt_v2,10,88,0.125,0.2840909090909091,0.375,0.176493558548422,0.06818181818181818
llama3.3-70b,MME,pp2prompt_v2,10,40,0.6,0.9,0.95,0.7099603174603175,-0.050000000000000044
llama3.3-70b,LIRICAL,pp2prompt_v2,10,370,0.5324324324324324,0.7594594594594595,0.8567567567567568,0.6144546838093276,0.005405405405405461
llama3.3-70b,RAMEDIS,pp2prompt_v2,10,624,0.22916666666666666,0.3701923076923077,0.5673076923076923,0.2879777951109754,0.1266025641025641
llama3.3-70b,HMS,pp2prompt_v2,3,88,0.07954545454545454,0.2840909090909091,0.375,0.13397010977497323,0.022727272727272728
llama3.3-70b,MME,pp2prompt_v2,3,40,0.65,0.9,0.95,0.7404166666666667,0.0
llama3.3-70b,LIRICAL,pp2prompt_v2,3,370,0.5405405405405406,0.7594594594594595,0.8567567567567568,0.6164742033288471,0.013513513513513598
llama3.3-70b,RAMEDIS,pp2prompt_v2,3,624,0.16826923076923078,0.3701923076923077,0.5673076923076923,0.22964573365391394,0.06570512820512822
llama3.3-70b,HMS,pp2prompt_v2,5,88,0.10227272727272728,0.2840909090909091,0.375,0.14457617038103385,0.04545454545454546
llama3.3-70b,MME,pp2prompt_v2,5,40,0.65,0.9,0.95,0.7320833333333333,0.0
llama3.3-70b,LIRICAL,pp2prompt_v2,5,370,0.5243243243243243,0.7594594594594595,0.8567567567567568,0.6076003294549731,-0.002702702702702675
llama3.3-70b,RAMEDIS,pp2prompt_v2,5,624,0.19391025641025642,0.3701923076923077,0.5673076923076923,0.25007842596160623,0.09134615384615385
llama3.3-70b,HMS,v7,10,88,0.056818181818181816,0.2840909090909091,0.375,0.12071253401739748,0.0
llama3.3-70b,MME,v7,10,40,0.65,0.9,0.95,0.7404166666666667,0.0
llama3.3-70b,LIRICAL,v7,10,370,0.527027027027027,0.7594594594594595,0.8567567567567568,0.6106183474729912,0.0
llama3.3-70b,RAMEDIS,v7,10,624,0.10256410256410256,0.3701923076923077,0.5673076923076923,0.19203889604707633,0.0
llama3.3-70b,HMS,v7,3,88,0.056818181818181816,0.2840909090909091,0.375,0.12071253401739748,0.0
llama3.3-70b,MME,v7,3,40,0.65,0.9,0.95,0.7404166666666667,0.0
llama3.3-70b,LIRICAL,v7,3,370,0.5297297297297298,0.7594594594594595,0.8567567567567568,0.6119696988243425,0.002702702702702786
llama3.3-70b,RAMEDIS,v7,3,624,0.10256410256410256,0.3701923076923077,0.5673076923076923,0.1919854772436575,0.0
llama3.3-70b,HMS,v7,5,88,0.056818181818181816,0.2840909090909091,0.375,0.12071253401739748,0.0
llama3.3-70b,MME,v7,5,40,0.65,0.9,0.95,0.7404166666666667,0.0
llama3.3-70b,LIRICAL,v7,5,370,0.527027027027027,0.7594594594594595,0.8567567567567568,0.6106183474729912,0.0
llama3.3-70b,RAMEDIS,v7,5,624,0.10256410256410256,0.3701923076923077,0.5673076923076923,0.1919854772436575,0.0
